बह्रँबञ्जाः,Bahranbanjaa
बाइजु,Baiju
बागः,Baga
बाटा,Bata
बाटाजु,Bataju
बाटि,Bati
बादे,Bade
बाद्यकार,Badyakar
बारमासे,Barmase
बाराहि,Barahi
बारेजु,Bareju
बाला,Bala
बालाय् श्रेष्ठ,Balay Shrestha
बासि,Basi
बासिजु,Basiju
बासु,Basu
बासुकला,Basukala
बिजयानन्द,Bijayananda
बिजु,Bijju
बिजुक्छें,Bijukchhen
बिन्दुकार,Bindurkar
बिन्दुराकार,Bindurakar
बिरबल,Birbal
बिर्ता,Birta
बिसन्द्यः,Bisandyo
बिसिन्द्यः,Bisindya
बिस्काग्वारा,Biskagwara
बुद्धाचार्य,Buddhacharya
बुलावः,Bulawa
बेको,Beko
बेकोजु,Bekoju
बैदार,Baidar
बोयजु,Boyaju
बोयेजु,Boyeju
बोरेय्,Borey
बोहजु,Bohaju
बोहोजु,Bohoju
ब्यञ्जनकार ,Byanjankar
ब्याँ,Byan
ब्याञ्जु,Byanju
भजु,Bhaju
भडेल,Bhadel
भतजु,Bhataju
भतिंखेंय्‌नः,Bhatinkhenna
भत्तु,Bhattu
भद्रा,Bhadra
भयद्यो,Bhayadyo
भयो,Bhayo
भलन्द्यो,Bhalandyo
भलिंदुवाः,Bhalinduwaa
भाँ,Bhan
भाँसिँ,Bhansin
भाग्यः,Bhagya
भाजु,Bhaju
भान्छिकः,Bhanchhika
भायाद्यः,Bhayadyo
भाराँग्वारा,Bharangwara
भारिजु,Bhariju
भारो,Bharo
भालु श्रेष्ठ,Bhalu Shrestha
भासिँक,Bhasinka
भासिम,Bhasima
भासिमा,Bhasima
भिंदुवाः,Bhinduwaa
भिंलाखे,Bhinlakhe
भुंत,Bhunta
भुइ,Bhui
भुजिंपुत,Bhujinputa
भुजु,Bhuju
भुत्त,Bhutta
भेलु,Bhelu
भेले,Bhele
भैनात्व,Bhainatwo
भैल,Bhaila
भोछिभोया,Bhochhibhoya
भोमि,Bhomi
भोया,Bhoya
भौकाजि,Bhaukaji
भौजु,Bhauju
भ्वयेद्य,Bhwoyedyo
मकै,Makai
मगः,Maga
मगजु,Magaju
मचामसि,Machamasi
मथ्या,Mathya
मधिकर्मी,Madhikarmi
मनताहा,Mantaha
मन्तासिर,Mantasira
मलेकु,Maleku
मलेगो,Malego
मलेपति,Malepati
मल्ताबञ्जाः,Maltabanjaa
मल्ल,Malla
मल्लि,Malli
महर्जन,Maharjan
महां,Mahan
महाजु,Mahaju
माःद्यःपःमां,Maadyopamaan
माक,Maka
माकः श्रेष्ठ,Maka Shrestha
माकजु,Makaju
माकें,Maken
माज्जु,Majju
मातनछें,Matanchhen
माताङ,Matang
माताङ्गुलु,Matangulu
माथेमा,Mathema
मानन्धर,Manandhar
मान्छिकः,Manchika
माय्‌कें,Mayeken
माय्‌बञ्जाः,Mayebanjaa
मारिखु,Marikhu
मालाकार,Malakar
मालि,Mali
मास्के,Maskey
मिश्र,Mishra
मुगुथि,Muguthi
मुनंकर्मी,Munankarmi
मुनिकार,Munikar
मुलगुथि,Mulguthi
मुलेपति,Mulepati
मुल्मी,Mulmi
मुस्या,Musya
मुस्याख्वो,Musyakhwo
मुस्याङ,Musyang
मुस्याजु,Musyaju
मुस्याबागः,Musyabaga
मूल,Mool
मेय्‌पु,Meypu
मेसानायो,Mesanayo
म्हारि,Mhari
म्हारिखुं,Mharikhun
म्हासुमाला,Mhasumala
म्होह,Mhoh
यगोल,Yagol
यमा,Yama
यमि,Yami
यले,Yale
याँचा,Yancha
याँमत,Yanmata
याकछें,Yakachhen
याकामि,Yakami
यान्द्यो,Yandyo
योगल,Yogal
रघुबंशी,Raghubanshi
रजक,Rajak
रञ्जित,Ranjit
रञ्जितकार,Ranjitkar
राइठोर,Raithor
राजकर्णिकार,Rajkarnikar
राजचल,Rajchal
राजथला,Rajthala
राजबाहक,Rajbahak
राजभण्डारी,Rajbhandari
राजलवत,Rajlawat
राजवंशी,Rajbanshi
राजोपाध्याय,Rajopadhyaya
राठौर,Rathaur
राय,Raya
रिमाल,Rimal
लघु,Laghu
लव,Lawa
लवजु,Lawaju
लवत,Lawat
लवुस,Lawus
लाकौल,Lacoul
लाखा,Lakha
लाखाजु,Lakhaju
लाखे,Lakhe
लाखेभिन्द्यो,Lakhebhindyo
लाखेमरु,Lakhemaru
लागे,Lage
लागेजु,Lageju
लाछि,Lachhi
लाछिमस्यु,Lachhimasyu
लाम्चा,Lamcha
लालुव,Laluwo
लासिवा,Lasiwa
लिगल,Ligal
लिवि,Libi
लुंवञ्जार,Lubanjar
लेप्चा,Lepcha
लेबा,Leba
लोहँकःमि,Lohakami
लोहला,Lohala
ल्होरा,Lhora
वँय्,Wanye
वंत,Wanta
वन,Wan
वस्ति,Wasti
वाः,Wa
वाङाय,Wangaya
वाङ्ङायेयो,Wangngayeyo
वाताङकछि,Watangkachhi
वासिंछ्याकः,Wasinchhyaka
वासिन्द्यः,Wasindya
वास्या,Wasya
वेंजु,Wenju
वेजु,Weju
वैद्य,Vaidya
शंखदेव,Shankhadev
शर्मा,Sharma
शाक्य,Shakya
शाही,Shahi
शिखरकार,Shikharkar
शिलाकार,Shilakar
शिल्पकार,Shilpakar
शिवहरि,Sivahari
शिवाचार्य,Shiwacharya
शुक्ल,Shukla
